,Profile,Campany,Skills,Exp,Location
504,IT Manager     HR Jobs Placements     (More Jobs),"HR Jobs Placements
     (More Jobs)","OperationsManagementIT,InfrastructureManagement,Computernetwork,Networkadministrator,Networkinstallation",14 - 18 yrs,"Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Noida/Greater Noida,  Pune"
505,"Delivery Manager , Project Manager     HR Jobs Placements     (More Jobs)","HR Jobs Placements
     (More Jobs)","DeliveryHead,PracticeHead,Gm",14 - 19 yrs,₹Rs 16.00 - 27.00 Lacs p.a.
506,"Program Management , Delivery Manager     HR Jobs Placements     (More Jobs)","HR Jobs Placements
     (More Jobs)","programmanager,deliverymanager,servicedeliverymanager",10 - 15 yrs,"Kolkata,  Mumbai,  Noida/Greater Noida,  Pune"
507,Senior Business Analyst     HR Jobs Placements     (More Jobs),"HR Jobs Placements
     (More Jobs)","BusinessAnalyst,analyst",8 - 13 yrs,₹Rs 8.00 - 18.00 Lacs p.a.
508,Vice President - Technology - Cloud  &  ML / AI Domain     HR Jobs Placements     (More Jobs),"HR Jobs Placements
     (More Jobs)","Cloud(AWS/Azure),VPTechnology,TechnologyTrends,SolutionArchitect,strategicplanning,CustomerLeadership,PeopleManagement,ProjectManagement,Metrics,Budget",15 - 20 yrs,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Kolkata,  Mumbai"
509,"Manager  /  Senior Manager- IT , Manager It     HR Jobs Placements     (More Jobs)","HR Jobs Placements
     (More Jobs)","itmanager,erp,CRM,sugarcrm",8 - 13 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Gurgaon"
510,program head     HR Jobs Placements     (More Jobs),"HR Jobs Placements
     (More Jobs)","programhead,Project,ProgramManagement,DeliveryManagement,ServiceDelivery,ItOperations,ItServiceDelivery",17 - 22 yrs,₹Rs 16.00 - 33.00 Lacs p.a.
511,Logistics Manager     HR Jobs Placements     (More Jobs),"HR Jobs Placements
     (More Jobs)","costing,logisticsnetwork,LogisticsManagement,Inventory,InventoryControl",8 - 13 yrs,"Bengaluru / Bangalore,  Chennai,  Delhi,  Hyderabad/Secunderabad,  Kolkata"
512,Test Manager     HR Jobs Placements     (More Jobs),"HR Jobs Placements
     (More Jobs)","AutomatedTestingManualTesting,SoftwareTesting,testmanager,qalead,testlead",12 - 17 yrs,₹Rs 10.00 - 20.00 Lacs p.a.
513,"Technical Delivery Manager , Technical Associate     HR Jobs Placements     (More Jobs)","HR Jobs Placements
     (More Jobs)","Technicalmanager,associateprojectmanager,leadershipskills,ProblemSolving,Queryhandling,complexdeliveries,Projectmanagement",15 - 19 yrs,"Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Noida/Greater Noida,  Pune"
514,IT Head     HR Jobs Placements     (More Jobs),"HR Jobs Placements
     (More Jobs)","IThead,itmanager,lan,wan,ASP.netc#Vb.net,erp,mvc",12 - 17 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Gurgaon"
515,Operations Manager     HR Jobs Placements     (More Jobs),"HR Jobs Placements
     (More Jobs)","CustomerManagement,VendorManagement,ResourceManagement,Operations,DeliveryManagement,ClientRelationshipManagement,ITProject",12 - 17 yrs,"Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Noida/Greater Noida,  Pune"
516,Service Delivery Manager     HR Jobs Placements     (More Jobs),"HR Jobs Placements
     (More Jobs)","itinfrastructure,servicedelivery,linux",12 - 17 yrs,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad,  Pune"
517,IT Head     HR Jobs Placements     (More Jobs),"HR Jobs Placements
     (More Jobs)","IThead,itmanager,lan,wan,ASP.netc#Vb.net,erp,mvc",12 - 17 yrs,"Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Noida/Greater Noida,  Pune"
518,CFO Finance Head     HR Jobs Placements     (More Jobs),"HR Jobs Placements
     (More Jobs)","Accounts,Finance,Tax,Financialservices,Financialresults,Financialplanning,financialmanagement",16 - 21 yrs,₹Rs 20.00 - 28.00 Lacs p.a.
519,CFO Finance Head     HR Jobs Placements     (More Jobs),"HR Jobs Placements
     (More Jobs)","Head-Accounts&AuditandCFO,SOPsDrafting,TeamBuilding&Leadership,",16 - 21 yrs,₹Rs 18.00 - 32.00 Lacs p.a.
520,Facility Manager     HR Jobs Placements     (More Jobs),"HR Jobs Placements
     (More Jobs)","Facilitymanager,dutymanager,assistantmanager",10 - 15 yrs,₹Rs 9.00 - 18.00 Lacs p.a.
521,Technology Manager     HR Jobs Placements     (More Jobs),"HR Jobs Placements
     (More Jobs)","technologymanager,technologyarchitect,technicalconsultant,consultant",12 - 17 yrs,₹Rs 10.00 - 20.00 Lacs p.a.
522,Warehouse Manager     HR Jobs Placements     (More Jobs),"HR Jobs Placements
     (More Jobs)","Supplychainmanagement,Inventorycontrol,PurchaseOrder,MaterialRequirement,Qualitycheck,stockaccuracy,operationsmanagement",6 - 11 yrs,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata"
523,"Finance head , Accounts Head     HR Jobs Placements     (More Jobs)","HR Jobs Placements
     (More Jobs)","gst,TaxAuditsIncomeTax,Accounting,generalaccounting,FinancialAccounting,AccountsReceivable,AccountsPayable,erp",13 - 18 yrs,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata"
524,IT Director     HR Jobs Placements     (More Jobs),"HR Jobs Placements
     (More Jobs)","ITManager,ProjectManagement,ERPImplementation,HeadofIT,ITPolicies,NetworkSecurity,ITStrategies,Supervision,BudgetManagement,ITconfiguration",18 - 23 yrs,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Mumbai,  Pune"
525,"Program Management , Delivery Manager     HR Jobs Placements     (More Jobs)","HR Jobs Placements
     (More Jobs)","programmanager,deliverymanager,servicedeliverymanager",14 - 19 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Gurgaon"
526,Delivery Head     HR Jobs Placements     (More Jobs),"HR Jobs Placements
     (More Jobs)","DeliveryHead,PracticeHead,Vp,Gm",18 - 23 yrs,₹Rs 20.00 - 32.00 Lacs p.a.
527,Chief Operating Officer  ( COO )      HR Jobs Placements     (More Jobs),"HR Jobs Placements
     (More Jobs)","dataanalytics,Bfsi,ProgramManagement,GlobalDeliveryManager,Director,DeliveryHead,DirectorProductDevelopment,CEO,VicePresidentIT,DeliveryManager,",17 - 22 yrs,₹Rs 20.00 - 30.00 Lacs p.a.
528,"Project Leader , Project Manager     HR Jobs Placements     (More Jobs)","HR Jobs Placements
     (More Jobs)","projectmanager,projectlead,projectleader,sdlc",11 - 16 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad"
529,Head of IT Department     HR Jobs Placements     (More Jobs),"HR Jobs Placements
     (More Jobs)","ITManager,ProjectManagement,ERPImplementation,HeadofIT",16 - 21 yrs,₹Rs 20.00 - 30.00 Lacs p.a.
530,Accounts and Finance Manager     HR Jobs Placements     (More Jobs),"HR Jobs Placements
     (More Jobs)","erp,oracleerp,payroll,gst,SAP,taxation",9 - 14 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Gurgaon"
531,Logistics Manager / Head     HR Jobs Placements     (More Jobs),"HR Jobs Placements
     (More Jobs)","SupplyChain,logisticsmanager,Supply,Logistics,LogisticsSupport",13 - 18 yrs,₹Rs 10.00 - 18.00 Lacs p.a.
532,Sales Head Marketing Head     HR Jobs Placements     (More Jobs),"HR Jobs Placements
     (More Jobs)","Saleshead,agencymanager,marketinghead",12 - 17 yrs,₹Rs 12.00 - 20.00 Lacs p.a.
533,Accounts  &   Finance Manager     HR Jobs Placements     (More Jobs),"HR Jobs Placements
     (More Jobs)","erp,oracleerp,payroll,gst,SAP,taxation",9 - 14 yrs,"Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Noida/Greater Noida,  Pune"
534,Warehouse manager     HR Jobs Placements     (More Jobs),"HR Jobs Placements
     (More Jobs)","warehouse,stock,inventory",12 - 17 yrs,₹Rs 13.00 - 20.00 Lacs p.a.
